"","rxddrgid","rxddrug","rxdingfl","rxddci1a","rxddci1b","rxddci1c","rxddci2a","rxddci2b","rxddci2c","rxddci3a","rxddci3b","rxddci3c","rxddci4a","rxddci4b","rxddci4c","rxdici1a","rxdici1b","rxdici1c","rxdici2a","rxdici2b","rxdici2c","rxdici3a","rxdici3b","rxdici3c","rxdici4a","rxdici4b","rxdici4c","rxdici5a","rxdici5b","rxdici5c","rxdici6a","rxdici6b","rxdici6c","rxddcn1a","rxddcn1b","rxddcn1c","rxddcn2a","rxddcn2b","rxddcn2c","rxddcn3a","rxddcn3b","rxddcn3c","rxddcn4a","rxddcn4b","rxddcn4c","rxdicn1a","rxdicn1b","rxdicn1c","rxdicn2a","rxdicn2b","rxdicn2c","rxdicn3a","rxdicn3b","rxdicn3c","rxdicn4a","rxdicn4b","rxdicn4c","rxdicn5a","rxdicn5b","rxdicn5c","rxdicn6a","rxdicn6b","rxdicn6c"
"11","a11518","CONJUGATED ESTROGENS; PROGESTERONE",2,97,101,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,183,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","SEX HORMONE COMBINATIONS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS","","","","","","","","","","","",""
"12","a11692","AMYLASE; LIPASE; PROTEASE",2,87,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,91,NA,87,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","DIGESTIVE ENZYMES","","","","","","","","","","","GASTROINTESTINAL AGENTS","DIGESTIVE ENZYMES","","GASTROINTESTINAL AGENTS","MISCELLANEOUS GI AGENTS","","","","","","","","","","","","",""
"13","a51865","DIPHENIDOL",1,57,65,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,65,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","MISCELLANEOUS ANTIEMETICS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","MISCELLANEOUS ANTIEMETICS","","","","","","","","","","","","","","",""
"14","a52024","ENCAINIDE",1,40,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS","","","","","","","","","","","","","","","",""
"15","a52060","ERYTHRITYL TETRANITRATE",1,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","VASODILATORS","","","","","","","","","","","","","","","",""
"16","a52445","GLUTETHIMIDE",1,57,67,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS","","","","","","","","","","","","","","",""
"17","a53990","NYLIDRIN HYDROCHLORIDE",1,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","VASODILATORS","","","","","","","","","","","","","","","",""
"18","a54115","OXYGEN",1,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","","","","","",""
"19","a54760","PRAZEPAM",1,57,67,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BENZODIAZEPINES","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BENZODIAZEPINES","","","","","","","","","","","","","","",""
"20","a55465","STANNOUS FLUORIDE",1,133,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","MOUTH AND THROAT PRODUCTS","","","","","","","","","","","TOPICAL AGENTS","MOUTH AND THROAT PRODUCTS","","","","","","","","","","","","","","","",""
"21","a55548","SULFAMETHAZINE",1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES","","","","","","","","","","","ANTI-INFECTIVES","SULFONAMIDES","","","","","","","","","","","","","","","",""
"22","a55570","SULFAPYRIDINE",1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES","","","","","","","","","","","ANTI-INFECTIVES","SULFONAMIDES","","","","","","","","","","","","","","","",""
"23","a55820","THYROGLOBULIN",1,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","","","","","",""
"24","a57014","ERYTHROPOIETIN",1,28,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIOLOGICALS","RECOMBINANT HUMAN ERYTHROPOIETINS","","","","","","","","","","","BIOLOGICALS","RECOMBINANT HUMAN ERYTHROPOIETINS","","","","","","","","","","","","","","","",""
"25","a59812","DOMPERIDONE",1,57,65,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,65,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","MISCELLANEOUS ANTIEMETICS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","MISCELLANEOUS ANTIEMETICS","","","","","","","","","","","","","","",""
"26","a70010","SEROTONIN",1,242,249,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,249,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSYCHOTHERAPEUTIC AGENTS","ANTIDEPRESSANTS","TRICYCLIC ANTIDEPRESSANTS","","","","","","","","","","PSYCHOTHERAPEUTIC AGENTS","ANTIDEPRESSANTS","TRICYCLIC ANTIDEPRESSANTS","","","","","","","","","","","","","","",""
"27","a70248","ESTRIOL",1,97,101,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","","","","","","","","","","","","","","",""
"28","a70444","CINNARIZINE",1,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES","","","","","","","","","","","RESPIRATORY AGENTS","ANTIHISTAMINES","","","","","","","","","","","","","","","",""
"29","a70491","HYOSCYNAMINE SULFATE",1,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS","","","","","","","","","","GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS","","","","","","","","","","","","","","",""
"30","a70573","PENTAERYTHRITOL TETRANITRATE",1,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","VASODILATORS","","","","","","","","","","","","","","","",""
"31","a70987","SQUARIC ACID",1,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","","","","","",""
"32","c00001","ANTI-INFECTIVES - UNSPECIFIED",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","","","","","","","","","","","","ANTI-INFECTIVES","","","","","","","","","","","","","","","","",""
"33","c00017","URINARY ANTI-INFECTIVES - UNSPECIFIED",0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES","","","","","","","","","","","ANTI-INFECTIVES","URINARY ANTI-INFECTIVES","","","","","","","","","","","","","","","",""
"34","c00019","ANTIHYPERLIPIDEMIC AGENTS - UNSPECIFIED",0,358,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS","","","","","","","","","","","METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS","","","","","","","","","","","","","","","",""
"35","c00020","ANTINEOPLASTICS - UNSPECIFIED",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","","","","","","","","","","","","ANTINEOPLASTICS","","","","","","","","","","","","","","","","",""
"36","c00039","MISCELLANEOUS BIOLOGICALS - UNSPECIFIED",0,254,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMMUNOLOGIC AGENTS","MISCELLANEOUS BIOLOGICALS","","","","","","","","","","","IMMUNOLOGIC AGENTS","MISCELLANEOUS BIOLOGICALS","","","","","","","","","","","","","","","",""
"37","c00040","CARDIOVASCULAR AGENTS - UNSPECIFIED",0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","","","","","","","","","","","","CARDIOVASCULAR AGENTS","","","","","","","","","","","","","","","","",""
"38","c00047","BETA-ADRENERGIC BLOCKING AGENTS - UNSPECIFIED",0,40,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","","","","","","","","","","","CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","","","","","","","","","","","","","","","",""
"39","c00049","DIURETICS - UNSPECIFIED",0,40,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS","","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","","","","","","","","","","","","","","","",""
"40","c00055","ANTIHYPERTENSIVE COMBINATIONS - UNSPECIFIED",0,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","","","","","","","","","","","","","","","",""
"41","c00057","CENTRAL NERVOUS SYSTEM AGENTS - UNSPECIFIED",0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","","","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","","","","","","","","","","","","","","","","",""
"42","c00058","ANALGESICS - UNSPECIFIED",0,57,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","","","","","","","","","","","","","","","",""
"43","c00059","MISCELLANEOUS ANALGESICS - UNSPECIFIED",0,57,58,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","MISCELLANEOUS ANALGESICS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","MISCELLANEOUS ANALGESICS","","","","","","","","","","","","","","",""
"44","c00061","NONSTEROIDAL ANTI-INFLAMMATORY AGENTS - UNSPECIFIED",0,57,58,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NONSTEROIDAL ANTI-INFLAMMATORY AGENTS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NONSTEROIDAL ANTI-INFLAMMATORY AGENTS","","","","","","","","","","","","","","",""
"45","c00067","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS - UNSPECIFIED",0,57,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","","","","","","","","","","","","","","","",""
"46","c00071","CNS STIMULANTS - UNSPECIFIED",0,57,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","CNS STIMULANTS","","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","CNS STIMULANTS","","","","","","","","","","","","","","","",""
"47","c00073","MUSCLE RELAXANTS - UNSPECIFIED",0,57,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","MUSCLE RELAXANTS","","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","MUSCLE RELAXANTS","","","","","","","","","","","","","","","",""
"48","c00087","GASTROINTESTINAL AGENTS - UNSPECIFIED",0,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","","","","","","","","","","","","GASTROINTESTINAL AGENTS","","","","","","","","","","","","","","","","",""
"49","c00090","ANTIDIARRHEALS - UNSPECIFIED",0,87,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","ANTIDIARRHEALS","","","","","","","","","","","GASTROINTESTINAL AGENTS","ANTIDIARRHEALS","","","","","","","","","","","","","","","",""
"50","c00096","MISCELLANEOUS GI AGENTS - UNSPECIFIED",0,87,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","MISCELLANEOUS GI AGENTS","","","","","","","","","","","GASTROINTESTINAL AGENTS","MISCELLANEOUS GI AGENTS","","","","","","","","","","","","","","","",""
"51","c00097","HORMONES/HORMONE MODIFIERS - UNSPECIFIED",0,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","","","","","","","","","","","","","","","","",""
"52","c00099","ANTIDIABETIC AGENTS - UNSPECIFIED",0,358,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","","","","","","","","","","","METABOLIC AGENTS","ANTIDIABETIC AGENTS","","","","","","","","","","","","","","","",""
"53","c00102","CONTRACEPTIVES - UNSPECIFIED",0,97,101,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES","","","","","","","","","","","","","","",""
"54","c00103","THYROID HORMONES - UNSPECIFIED",0,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","","","","","",""
"55","c00110","MISCELLANEOUS UNCATEGORIZED AGENTS - UNSPECIFIED",0,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","","","","","",""
"56","c00117","MINERALS AND ELECTROLYTES - UNSPECIFIED",0,115,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUTRITIONAL PRODUCTS","MINERALS AND ELECTROLYTES","","","","","","","","","","","NUTRITIONAL PRODUCTS","MINERALS AND ELECTROLYTES","","","","","","","","","","","","","","","",""
"57","c00122","RESPIRATORY AGENTS - UNSPECIFIED",0,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","","","","","","","","","","","","RESPIRATORY AGENTS","","","","","","","","","","","","","","","","",""
"58","c00123","ANTIHISTAMINES - UNSPECIFIED",0,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES","","","","","","","","","","","RESPIRATORY AGENTS","ANTIHISTAMINES","","","","","","","","","","","","","","","",""
