"","dsdingid","dsdingr","dsdbcid","dsdbcnam","dsdbccat"
"30","10002772","KIDGREENZ SUPERFOOD COMPLEX","10000008","ALFALFA",3
"31","10002815","FIBRESTORE PROPRIETARY BLEND","10000008","ALFALFA",3
"32","10002925","VITAMIN WORLD B-50 PROPRIETARY BLEND","10000008","ALFALFA",3
"33","10003259","RBC WHOLE FOOD VITAMIN BLEND","10000008","ALFALFA",3
"34","10003301","SOLGAR NATURAL POWDERED BLEND #2","10000008","ALFALFA",3
"35","10003560","HARMONY FORMULAS HEPATIC CLEANSE BLEND","10000008","ALFALFA",3
"36","10003618","ALL IN ONE HERBAL BLEND EXTRACT STANDARDIZED 1:4","10000008","ALFALFA",3
"37","10003730","SUPER JUICE LUTEIN CONCENTRATION BLEND","10000008","ALFALFA",3
"38","10004006","PURITAN'S PRIDE B-COMPLEX PROPRIETARY BLEND","10000008","ALFALFA",3
"39","10004090","NATURE'S SUNSHINE HERBAL CA PROPRIETARY BLEND","10000008","ALFALFA",3
"40","10004125","PURITAN'S PRIDE TIME RELEASE B-50 PROPRIETARY BLEND","10000008","ALFALFA",3
"41","10004189","SP TRACE MINERALS-B12 PROPRIETARY BLEND","10000008","ALFALFA",3
"42","10004198","SP DIAPLEX PROPRIETARY BLEND","10000008","ALFALFA",3
"43","10004392","ALTRUM SUPERFOODS BLEND","10000008","ALFALFA",3
"44","10004412","VISION FOR LIFE GENTLE BODY CLEANSE PROPRIETARY BLEND","10000008","ALFALFA",3
"45","10004417","NUTRITION WAREHOUSE B-100 COMPLEX PROPRIETARY BLEND","10000008","ALFALFA",3
"46","10004620","NATURE'S BOUNTY B-COMPLEX PROPRIETARY BLEND","10000008","ALFALFA",3
"47","10004868","RELIV ARTHAFFECT PROPRIETARY BLEND","10000008","ALFALFA",3
"48","10004962","ULTRA PLAN DIETER'S MULTI-VITAMIN SUPER GREEN FOODS BLEND","10000008","ALFALFA",3
"49","10005238","NATURE'S WAY ALIVE! GREEN FOOD/SPIRULINA BLEND #2","10000008","ALFALFA",3
"50","10005287","HEALTH RESOURCES ADVANCED COLON CARE PROPRIETARY BLEND","10000008","ALFALFA",3
"51","10005324","NATURE'S WAY ALIVE! GREEN FOOD/SPIRULINA BLEND #3","10000008","ALFALFA",3
"52","10005420","KNUTRIC BLEND","10000008","ALFALFA",3
"53","10005613","GOLDSHIELD ELITE PLANT PIGMENT BLEND","10000008","ALFALFA",3
"54","10005785","REXALL B COMPLEX PROPRIETARY BLEND","10000008","ALFALFA",3
"55","10005838","WHOLE FOODS GREENS BLEND","10000008","ALFALFA",3
"56","10005839","WHOLE FOODS GREENS BLEND GREEN JUICE BLEND","10000008","ALFALFA",3
"57","10005850","CVS PHARMACY BALANCED B-50 PROPRIETARY BLEND","10000008","ALFALFA",3
"58","10005924","AWARENESSLIFE DAILY COMPLETE PROPRIETARY BLEND","10000008","ALFALFA",3
"59","10006006","ISAGENIX ESSENTIALS FOR MEN PROPRIETARY BLEND","10000008","ALFALFA",3
"60","10006077","HEALTH DIRECT NATURE'S OPTIMAL NUTRITION PROPRIETARY PLANT-MINERAL BLEND","10000008","ALFALFA",3
"61","10006085","HEALTH DIRECT NATURE'S OPTIMAL NUTRITION PROPRIETARY EXCLUSIVE PHYTONUTRIENT FRUIT AND VEGETABLE BLEND","10000008","ALFALFA",3
"62","10006147","DR NATURA COLONIX PROPRIETARY BLEND","10000008","ALFALFA",3
"63","10006331","7 DAY MIRACLE CLEANSE SUPER BOOST (GREENS MIX) BLEND","10000008","ALFALFA",3
"64","10006425","PURITAN'S PRIDE B-COMPLEX PROPRIETARY BLEND #2","10000008","ALFALFA",3
"65","10006755","VITAMIN WORLD MEGA B-100 PROPRIETARY BLEND","10000008","ALFALFA",3
"66","10006909","HEALTHY HABITS MAXIMUM WELLNESS PROPRIETARY FRUIT, VEGETABLE AND BIOFLAVONOID BLEND","10000008","ALFALFA",3
"67","10007098","KENZEN MEGA DAILY 4 ORGANIC VEGETABLE BLEND","10000008","ALFALFA",3
"68","10007484","RAINBOW LIGHT 4:1 VEGETABLE JUICE EXTRACT BLEND","10000008","ALFALFA",3
"69","10007654","AMAZING GRASS GREENSUPERFOOD GREEN FOOD BLEND","10000008","ALFALFA",3
"70","10000754","DOUBLE X CONCENTRATE","10000009","ALFALFA EXTRACT",3
"71","10005206","4LIFE MUSCULOSKELETAL FORMULA PROPRIETARY BLEND","10000009","ALFALFA EXTRACT",3
"72","10006252","TO YOUR HEALTH HERB PROFILE","10000009","ALFALFA EXTRACT",3
"73","10007029","SP DRENAMIN PROPRIETARY BLEND #2","10000009","ALFALFA EXTRACT",3
"74","10001597","SCHIFF B COMPLEX PROPRIETARY BLEND","10000010","ALFALFA POWDER",3
"75","10004067","GENERIC8 B 50 PROPRIETARY BLEND","10000010","ALFALFA POWDER",3
"76","10004069","GENERIC8 MULTIPLE VITAMIN & MINERAL PROPRIETARY BLEND","10000010","ALFALFA POWDER",3
"77","10004070","GENERIC8 MULTIPLE VITAMIN & MINERAL PROPRIETARY BLEND #2","10000010","ALFALFA POWDER",3
"78","10004123","NEW VITALITY ALOE EASE PROPRIETARY BLEND","10000010","ALFALFA POWDER",3
"79","10004736","TRADER DARWIN'S B '100' PROPRIETARY BLEND","10000010","ALFALFA POWDER",3
"80","10007509","COLON CLEANSER BIOMAR PROPRIETARY BLEND","10000010","ALFALFA POWDER",3
"81","10004094","NATURE'S SUNSHINE BOWEL DETOX PROPRIETARY BLEND","10000011","ALGIN",4
"82","10007384","SOLARAY DETOX BLEND SP-25 PROPRIETARY BLEND","10000011","ALGIN",4
"83","10000955","DIGEZYME ENZYME COMPLEX","10000015","AMYLASE",4
"84","10001264","FORWARD PLUS DAILY REGIMEN PLANT ENZYME BLEND","10000015","AMYLASE",4
"85","10001328","N-ZIMES BLEND","10000015","AMYLASE",4
"86","10001498","DIGEZYME PROPRIETARY BLEND","10000015","AMYLASE",4
"87","10001536","KYOLIC ENZYME COMPLEX","10000015","AMYLASE",4
"88","10001600","ESSENTIALS FOR LIFE PROPRIETARY ENZYME BLEND","10000015","AMYLASE",4
"89","10001602","FIZYME ENZYME BLEND","10000015","AMYLASE",4
"90","10001840","JARROW-ZYMES PORCINE PANCREATIC ENZYMES","10000015","AMYLASE",4
"91","10001894","MAXIMOL PROPRIETARY BLEND","10000015","AMYLASE",4
"92","10002229","POWERHOUSE PROPRIETARY BLEND","10000015","AMYLASE",4
"93","10002297","NATROL MULTIENZYME BLEND","10000015","AMYLASE",4
"94","10002303","ULTIMATE LIVING N*ZIMES PROPRIETARY BLEND","10000015","AMYLASE",4
"95","10002478","SOOTHEX PROPRIETARY ENZYME BLEND","10000015","AMYLASE",4
"96","10002710","ALIVE! DIGESTIVE ENZYME BLEND","10000015","AMYLASE",4
"97","10002891","ENZOPHARM PLUS VEGETARIAN ENZYME BLEND","10000015","AMYLASE",4
"98","10002971","ELECTRO-VITA-MIN ENZYME BLEND","10000015","AMYLASE",4
"99","10003225","MARITIME PRIME PROPRIETARY BLEND","10000015","AMYLASE",4
"100","10003261","RBC MICRO-TECH DELIVERY SYSTEM","10000015","AMYLASE",4
"101","10003475","TABAK'S MEGAWELLNESS SYSTEM VEGETABLE ENZYMES PROPRIETARY BLEND","10000015","AMYLASE",4
"102","10003623","DAILY COMPLETE + PLANT ENZYME CONCENTRATE","10000015","AMYLASE",4
"103","10003733","SUPER JUICE VEGETABLE ENZYME CONCENTRATE","10000015","AMYLASE",4
"104","10003743","GREENS TODAY PLANT BASED DIGESTIVE ENZYMES BLEND","10000015","AMYLASE",4
"105","10004071","GENERIC8 WOMEN'S HIGH POTENCY PROPRIETARY BLEND","10000015","AMYLASE",4
"106","10004087","SWANSON PROPRIETARY ENZYME BLEND","10000015","AMYLASE",4
"107","10004149","ZYGEST BLEND","10000015","AMYLASE",4
"108","10004214","SP MULTIZYME PROPRIETARY BLEND","10000015","AMYLASE",4
"109","10004227","METATRIM PLANT-SOURCE ENZYME BLEND","10000015","AMYLASE",4
"110","10004249","BIOSET GASTRO CALM PROPRIETARY ENZYME BLEND","10000015","AMYLASE",4
"111","10004283","ESSENTIALS FOR LIFE 1 CAEDS BLEND","10000015","AMYLASE",4
"112","10004285","ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND","10000015","AMYLASE",4
"113","10004341","KAL ENHANCED ENERGY ENZYME BLEND","10000015","AMYLASE",4
"114","10004428","GNLD ACTIVE 40 PHYTO ENZYME BLEND","10000015","AMYLASE",4
"115","10004439","VITALZYM PROPRIETARY ENZYME BLEND","10000015","AMYLASE",4
"116","10004577","GARDEN OF LIFE SYSTEMIC ENZYME BLEND","10000015","AMYLASE",4
"117","10004680","TOTAL BODY PURIFIER ANTI-GAS / BLOAT ENZYMES","10000015","AMYLASE",4
"118","10004926","MANNATECH ENZYME BLEND","10000015","AMYLASE",4
"119","10004970","GOOD DAYS ENZYME BLEND","10000015","AMYLASE",4
"120","10005079","JUICE PLUS+ ORCHARD PROPRIETARY BLEND","10000015","AMYLASE",4
"121","10005100","JUICE PLUS+ GARDEN PROPRIETARY BLEND","10000015","AMYLASE",4
"122","10005193","4LIFE PROPRIETARY ENZYME BLEND","10000015","AMYLASE",4
"123","10005255","TRUE ESSENTIALS ENZYME BLEND","10000015","AMYLASE",4
"124","10005338","TWINLAB DIGESTIVE BLEND","10000015","AMYLASE",4
"125","10005345","ENERGETIX CATALYST-7 BLEND","10000015","AMYLASE",4
"126","10005346","ENERGETIX GREENING POWER BLEND","10000015","AMYLASE",4
"127","10005421","GREEN SOURCE PROPRIETARY ENZYME BLEND","10000015","AMYLASE",4
"128","10005448","PATHWAY TO HEALTH MULTI-ENZYME COMPLEX","10000015","AMYLASE",4
"129","10005486","MP, INC. THYROID SUPPORT ENZYME BLEND","10000015","AMYLASE",4
"130","10005500","ALL DAY ENERGY GREENS ENZYME BLEND","10000015","AMYLASE",4
"131","10005608","GOLDSHIELD ELITE BIOACTIVE ENZYMES BLEND","10000015","AMYLASE",4
"132","10005686","5-HOUR ENERGY ENZYME BLEND","10000015","AMYLASE",4
"133","10005710","PREMIER RESEARCH LABS QUANTUM ADAPTOGEN COMPLEX PROPRIETARY BLEND","10000015","AMYLASE",4
"134","10005840","WHOLE FOODS GREENS BLEND FIBER AND ENZYME BLEND","10000015","AMYLASE",4
"135","10005924","AWARENESSLIFE DAILY COMPLETE PROPRIETARY BLEND","10000015","AMYLASE",4
"136","10005936","THE VITAMIN SHOPPE BODYTECH ULTIMATE MAN ELITE BIOCOR OPTIMUM ENZYME BLEND","10000015","AMYLASE",4
"137","10006026","MEGAFOOD ONE DAILY PLANT ENZYMES BLEND","10000015","AMYLASE",4
"138","10006090","HEALTH DIRECT NATURE'S OPTIMAL NUTRITION PROPRIETARY ACTIVE PLANT ENZYME CONCENTRATE BLEND","10000015","AMYLASE",4
"139","10006172","JUICE FOR LIFE PROPRIETARY ENZYME BLEND","10000015","AMYLASE",4
"140","10006221","VITOL ENER-G 1 PER DAY ENZYME BLEND","10000015","AMYLASE",4
"141","10006282","ARBONNE'S ESSENTIAL ENZYME BLEND","10000015","AMYLASE",4
"142","10006306","LIQUID HEALTH COMPLETE MULTIPLE ORGANIC PLANT DIGESTIVE ENZYME THERAPY BLEND","10000015","AMYLASE",4
"143","10006434","GNC MULTI-ENZYME FORMULA MULTI-ENZYME BLEND","10000015","AMYLASE",4
"144","10006717","NSI NUTRACEUTICAL SCIENCES INSTITUTE WHOLE FOOD SHAKE DIGESTIVE ENZYME BLEND","10000015","AMYLASE",4
"145","10006745","TRACE MINERALS RESEARCH GREENS PAK ENZYME BLEND","10000015","AMYLASE",4
"146","10006811","365 ADULT MULTI FOR WOMEN DIGESTIVE ENZYME SUPPORT BLEND","10000015","AMYLASE",4
"147","10006898","NATURE'S WAY HAIR & SKIN CONCENTRATED ENZYME FORMULA","10000015","AMYLASE",4
"148","10006981","NEW VITALITY RUBY REDS ENZYME BLEND","10000015","AMYLASE",4
"149","10006982","PREMIER RESEARCH LABS CIRCUZYME PROPRIETARY BLEND","10000015","AMYLASE",4
"150","10007030","SP LACT-ENZ PROPRIETARY BLEND","10000015","AMYLASE",4
"151","10007113","SYNERGISTICS ENZIGEST #1 PROPRIETARY BLEND","10000015","AMYLASE",4
"152","10007155","HAMMER RACE CAPS SUPREME ENZYME ENHANCEMENT SYSTEM","10000015","AMYLASE",4
"153","10007219","DELICIOUS GREENS 8000 THE ORIGINAL! EZ-GO DIGESTIOX - PLANT ENZYME & FIBER BLEND","10000015","AMYLASE",4
"154","10007256","LIFE'S FORTUNE MULTI-VITAMIN & MINERAL PROPRIETARY BLEND","10000015","AMYLASE",4
"155","10007466","GARDEN OF LIFE VITAMIN CODE PERFECT WEIGHT RAW ENZYME BLEND","10000015","AMYLASE",4
"156","10007542","INNATE RESPONSE FORMULAS ONE DAILY BIOACTIVE ENZYMES & PROTEINS BLEND","10000015","AMYLASE",4
"157","10007625","JULIAN WHITAKER DIGESTIVE ENZYME COMPLEX BIOCORE OPTIMUM ENZYME BLEND","10000015","AMYLASE",4
"158","10007675","DAVINCI LABORATORIES OF VERMONT SPECTRA WOMAN PROPRIETARY BLEND OF VEGETARIAN ENZYMES","10000015","AMYLASE",4
"159","10007876","GARDEN OF LIFE VITAMIN CODE RAW ENZYME AND PROBIOTIC BLEND","10000015","AMYLASE",4
"160","10007910","GARDEN OF LIFE RAW PROBIOTIC & ENZYME BLEND","10000015","AMYLASE",4
"161","10007915","MOUNTAIN NATURALS OF VERMONT SENIOR SUPERIOR PROPRIETARY BLEND","10000015","AMYLASE",4
"162","10007942","MIGENETICS AFRICAN ORIGIN PROPRIETARY ORGANIC & KOSHER GREEN SUPERFOOD BLEND","10000015","AMYLASE",4
"163","10008031","TRADER JOE'S WOMEN'S HIGH POTENCY PROPRIETARY BLEND #2","10000015","AMYLASE",4
"164","10003979","FLORADIX KINDER LOVE BLEND","10000016","ANISE",3
"165","10005345","ENERGETIX CATALYST-7 BLEND","10000016","ANISE",3
"166","10003055","HERBS ETC. PARA-FREE COMPLEX","10000017","APPLE CIDER VINEGAR",4
"167","10006982","PREMIER RESEARCH LABS CIRCUZYME PROPRIETARY BLEND","10000017","APPLE CIDER VINEGAR",4
"168","10001685","RIGHT CHOICE AM ORCHARD BLEND","10000018","APPLE PECTIN",3
"169","10002068","HERBALIFE AM EXCLUSIVE BLEND","10000018","APPLE PECTIN",3
"170","10003477","DAILY FIBER BLEND CONCENTRATE","10000018","APPLE PECTIN",3
"171","10003853","FOREVER KIDS PHYTONUTRIENT BASE","10000018","APPLE PECTIN",3
"172","10004094","NATURE'S SUNSHINE BOWEL DETOX PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"173","10004124","NATURAL BALANCE ULTRA COLON CLENZ PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"174","10004321","NATURE'S LIFE ACIDOPHILUS CULTURE BLEND","10000018","APPLE PECTIN",3
"175","10004334","VITAMIN WORLD FIBER BLEND CONCENTRATE","10000018","APPLE PECTIN",3
"176","10004407","NATURE'S SECRET MULTI-FIBER PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"177","10004473","BLENDED FIBER PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"178","10005046","CELLULAR RESEARCH FORMULAS COLON CLEAR PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"179","10005079","JUICE PLUS+ ORCHARD PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"180","10005314","GENERIC8 VERY GREEN PROPRIETARY GREEN MIX BLEND","10000018","APPLE PECTIN",3
"181","10005346","ENERGETIX GREENING POWER BLEND","10000018","APPLE PECTIN",3
"182","10005423","GREEN SOURCE PROPRIETARY GREEN BLEND","10000018","APPLE PECTIN",3
"183","10005425","JP+ GUMMIES FRUITS PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"184","10005615","GOLDSHIELD ELITE FIBER BASE","10000018","APPLE PECTIN",3
"185","10005924","AWARENESSLIFE DAILY COMPLETE PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"186","10006107","MICHAEL'S NATUROPATHIC PROGRAMS CHOLESTEROL METABOLISM FACTORS PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"187","10006181","BCSS BODY CHEMISTRY SUPPORT SYSTEM BALTONE BLEND","10000018","APPLE PECTIN",3
"188","10006305","LIQUID HEALTH COMPLETE MULTIPLE DIGESTIVE SUPPORT COMPLEX","10000018","APPLE PECTIN",3
"189","10007256","LIFE'S FORTUNE MULTI-VITAMIN & MINERAL PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"190","10007322","NATURALLY YOUNG INTRA CLEANSE 1 PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"191","10007384","SOLARAY DETOX BLEND SP-25 PROPRIETARY BLEND","10000018","APPLE PECTIN",3
"192","10007977","HERBALIFE AM EXCLUSIVE BLEND #2","10000018","APPLE PECTIN",3
"193","10007611","GNC MEGA MEN ANTIOXIDANT FRUIT AND VEGETABLE BLEND #3","10000020","ASPARAGUS POWDER",3
"194","10001894","MAXIMOL PROPRIETARY BLEND","10000021","ASPARTIC ACID",5
"195","10002981","NUTRACEUTICAL PROPRIETARY COMPLEX","10000021","ASPARTIC ACID",5
"196","10003238","DAILY COMPLETE + GREEN PEA AMINO ACID COMPLEX","10000021","ASPARTIC ACID",5
"197","10003269","ULTRA BODY TODDY AMINO ACID PROPRIETARY BLEND","10000021","ASPARTIC ACID",5
"198","10003615","ALL IN ONE AMINO ACID BLEND","10000021","ASPARTIC ACID",5
"199","10003850","KREBS CYCLE POWDER","10000021","ASPARTIC ACID",5
"200","10003922","GLACIAL MILK COMPLETE NUTRITION AMINO ACID MIX","10000021","ASPARTIC ACID",5
"201","10004684","BODYWORX NUTRI-GENICS COMPLETE AMINO ACIDS FROM WHEY PROTEIN","10000021","ASPARTIC ACID",5
"202","10004722","LIQUIMAX PROPRIETARY SOY AMINO ACID COMPLEX","10000021","ASPARTIC ACID",5
"203","10004906","AMERICAN LONGEVITY MAJESTIC EARTH AMINO ACID MIX","10000021","ASPARTIC ACID",5
"204","10005076","VITAWAVE AMINO ACID BLEND","10000021","ASPARTIC ACID",5
"205","10005924","AWARENESSLIFE DAILY COMPLETE PROPRIETARY BLEND","10000021","ASPARTIC ACID",5
"206","10006084","HEALTH DIRECT NATURE'S OPTIMAL NUTRITION PROPRIETARY AMINO ACID MATRIX","10000021","ASPARTIC ACID",5
"207","10006313","LIQUID HEALTH COMPLETE MULTIPLE VEGETARIAN AMINO BLEND","10000021","ASPARTIC ACID",5
"208","10006339","LIQUIMAX AMINO ACID COMPLEX #2","10000021","ASPARTIC ACID",5
"209","10006912","HEALTHY HABITS MAXIMUM WELLNESS PROPRIETARY AMINO ACID COMPLEX","10000021","ASPARTIC ACID",5
"210","10001296","3-4-3 HERBAL CONCENTRATE","10000023","ASTRAGALUS ROOT",3
"211","10001375","SUPERNUTRITION HERBAL PROPRIETARY BLEND #2","10000023","ASTRAGALUS ROOT",3
"212","10002032","TRIGGER IMMUNE CHINESE PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"213","10002047","UC-C PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"214","10002615","WATKINS METABOLIC SUPPORT BLEND","10000023","ASTRAGALUS ROOT",3
"215","10003021","RAINBOW LIGHT VEGETABLE & HERB BLEND","10000023","ASTRAGALUS ROOT",3
"216","10003027","NUTRI STARS 4:1 HERBAL EXTRACTS","10000023","ASTRAGALUS ROOT",3
"217","10003391","DR. CHEN MEN'S FORMULA PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"218","10003476","DAILY COMPLETE + PROPRIETARY HERBAL COMBINATION","10000023","ASTRAGALUS ROOT",3
"219","10003518","ZAND ASTRAGALUS PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"220","10003675","FEELING YOUNG HERBAL EXTRACT COMPLEX","10000023","ASTRAGALUS ROOT",3
"221","10003902","HERBALIFE TOTAL CONTROL HERBAL BLEND","10000023","ASTRAGALUS ROOT",3
"222","10004057","SYMMETRY MALE BALANCE HERBAL BLEND","10000023","ASTRAGALUS ROOT",3
"223","10004323","DEEP DEFENSE 4:1 HERBAL EXTRACT BLEND","10000023","ASTRAGALUS ROOT",3
"224","10004395","ALTRUM HERBAL EXTRACT BLEND","10000023","ASTRAGALUS ROOT",3
"225","10004556","NATURE'S SUNSHINE CHINESE MINERAL-CHI TONIC PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"226","10004692","WELLQUEST VITAL SOLUTIONS HERBAL SUPPORT BLEND","10000023","ASTRAGALUS ROOT",3
"227","10004703","LEPTI-TRIM PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"228","10004931","SHAPEWORKS TOTAL CONTROL HERBAL BLEND","10000023","ASTRAGALUS ROOT",3
"229","10005611","GOLDSHIELD ELITE HERB AND BOTANICAL COMPLEX","10000023","ASTRAGALUS ROOT",3
"230","10005842","WHOLE FOODS GREENS BLEND HERBAL BLEND","10000023","ASTRAGALUS ROOT",3
"231","10005924","AWARENESSLIFE DAILY COMPLETE PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"232","10005930","NEW CHAPTER STRESS SUPPORT MULTI IMMUNE SUPPORT RESPONSE BLEND","10000023","ASTRAGALUS ROOT",3
"233","10006086","HEALTH DIRECT NATURE'S OPTIMAL NUTRITION PROPRIETARY HERBAL EXTRACT BLEND","10000023","ASTRAGALUS ROOT",3
"234","10006111","NATURE'S PLUS SOURCE OF LIFE ENERGY SHAKE HERBAL BASE","10000023","ASTRAGALUS ROOT",3
"235","10006235","ROEX CELLTALK PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"236","10007071","HERBASAURS ELDERBERRY PLUS PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"237","10007125","NATURALLY YOUNG MIRACLE PLUS PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"238","10007593","NEW CHAPTER ORGANICS EVERY WOMAN IMMUNE SUPPORT BLEND","10000023","ASTRAGALUS ROOT",3
"239","10007650","HERBALIST & ALCHEMIST IMMUNE ADAPT PROPRIETARY BLEND","10000023","ASTRAGALUS ROOT",3
"240","10007930","NEW CHAPTER ORGANICS EVERY MAN II IMMUNE SUPPORT BLEND","10000023","ASTRAGALUS ROOT",3
"241","10002301","NATROL ULTRA GREEN BLEND","10000024","BARLEY GRASS",3
"242","10002672","ALIVE! GREEN FOOD/ SPIRULINA BLEND","10000024","BARLEY GRASS",3
"243","10002752","ESSENTIALS MINI'S FOOD BASE BLEND","10000024","BARLEY GRASS",3
"244","10003464","ESSENTIALS FOR LIFE PROPRIETARY VITAMIN & ANTIOXIDANT BLEND","10000024","BARLEY GRASS",3
"245","10003622","DAILY COMPLETE + WHOLE SUPERFOOD GREEN COMPLEX","10000024","BARLEY GRASS",3
"246","10003679","FEELING YOUNG SUPERFOODS COMPLEX","10000024","BARLEY GRASS",3
"247","10004244","NATROL ULTRA GREEN BLEND #2","10000024","BARLEY GRASS",3
"248","10004281","ESSENTIALS FOR LIFE 1 PROPRIETARY VITAMIN & ANTIOXIDANT BLEND","10000024","BARLEY GRASS",3
"249","10004392","ALTRUM SUPERFOODS BLEND","10000024","BARLEY GRASS",3
"250","10004412","VISION FOR LIFE GENTLE BODY CLEANSE PROPRIETARY BLEND","10000024","BARLEY GRASS",3
"251","10004598","NATURE'S SUNSHINE ENERG-V PROPRIETARY BLEND","10000024","BARLEY GRASS",3
"252","10004600","MORE THAN A MULTIPLE GRASS BLEND","10000024","BARLEY GRASS",3
"253","10004868","RELIV ARTHAFFECT PROPRIETARY BLEND","10000024","BARLEY GRASS",3
"254","10004871","GARDEN OF LIFE PRIMAL DEFENSE HSO PROBIOTIC PROPRIETARY BLEND","10000024","BARLEY GRASS",3
"255","10005007","GARDEN OF LIFE POTEN-ZYME WHOLE FOOD MATRIX","10000024","BARLEY GRASS",3
"256","10005104","PREFERRED GREENS PLUS WITH MSM PROPRIETARY BLEND","10000024","BARLEY GRASS",3
"257","10005107","ORIGINAL SUPREME GREENS WITH MSM PROPRIETARY BLEND","10000024","BARLEY GRASS",3
"258","10005135","SP COMPLETE PROPRIETARY BLEND","10000024","BARLEY GRASS",3
"259","10005238","NATURE'S WAY ALIVE! GREEN FOOD/SPIRULINA BLEND #2","10000024","BARLEY GRASS",3
"260","10005324","NATURE'S WAY ALIVE! GREEN FOOD/SPIRULINA BLEND #3","10000024","BARLEY GRASS",3
"261","10005336","TWINLAB SUPER FOOD BLEND","10000024","BARLEY GRASS",3
"262","10005345","ENERGETIX CATALYST-7 BLEND","10000024","BARLEY GRASS",3
