"","dsdsupid","dsdsupp","dsdsrce","dsdtype","dsdservq","dsdservu","dsdcntv","dsdcntm","dsdcnta","dsdcntb","dsdcnto"
"22","1000013100","ONE A DAY 50 PLUS HIGH POTENCY MULTIVITAMIN / MULTIMINERAL",9,3,1,18,11,3,0,0,1
"23","1000013101","ONE A DAY 50 PLUS HIGH POTENCY MULTIVITAMIN / MULTIMINERAL",9,3,1,18,13,9,0,0,2
"24","1000013102","ONE A DAY 50 PLUS MULTIVITAMIN / MULTIMINERAL SPECIALLY FORMULATED FOR ADULTS 50 AND OVER",9,3,1,18,13,9,0,0,3
"25","1000013103","ONE A DAY 50 PLUS SPECIALLY FORMULATED FOR ADULTS 50 & OVER HIGH POTENCY MULTIVITAMIN / MULTIMINERAL",9,3,1,18,13,9,0,0,3
"26","1000013200","ONE A DAY MEN'S HIGH POTENCY MULTIVITAMIN / MULTIMINERAL",9,4,1,18,11,8,0,0,2
"27","1000013201","ONE A DAY MEN'S HIGH POTENCY MULTIVITAMIN/MULTIMINERAL",9,4,1,18,11,8,0,0,2
"28","1000013202","ONE A DAY MEN'S HEALTH FORMULA",9,4,1,18,13,7,0,0,3
"29","1000013203","ONE A DAY MEN'S HEALTH FORMULA MORE VITAMIN D MULTIVITAMIN / MULTIMINERAL",9,4,1,18,13,7,0,0,3
"30","1000013300","ONE A DAY COLD SEASON WITH NATURAL ECHINACEA, VITAMIN C AND ZINC",9,4,1,18,1,1,0,1,0
"31","1000013400","ONE A DAY TENSION & MOOD FORMULA  A UNIQUE BLEND  WITH ST. JOHN'S WORT AND NATURAL KAVA KAVA",9,4,1,18,5,0,0,2,1
"32","1000013500","ONE A DAY MEMORY AND CONCENTRATION WITH NATURAL GINKGO AND B-VITAMINS",9,4,1,18,3,0,0,1,0
"33","1000013700","ONE A DAY CHOLESTEROL HEALTH WITH NATURAL GARLIC AND SOY EXTRACTS",9,4,2,18,1,0,0,2,1
"34","1000013800","ONE A DAY MENOPAUSE HEALTH FORMULA A UNIQUE BLEND  WITH BLACK COHOSH AND NATURAL SOY EXTRACTS",9,3,1,18,1,1,0,2,1
"35","1000014000","ONE A DAY ENERGY FORMULA A UNIQUE BLEND WITH NATURAL GINSENG AND B-VITAMINS",9,4,1,18,5,1,0,1,0
"36","1000014100","THERAGRAN HIGH POTENCY MULTIVITAMIN FORMULA WITH ANTIOXIDANTS",9,4,1,1,12,0,0,0,1
"37","1000014500","COPLEY CHEWABLE MULTIVITAMINS WITH FLUORIDE (1 MG)",9,1,1,18,10,1,0,0,0
"38","1000014601","TEVA CHEWABLE MULTIVITAMINS WITH FLUORIDE 0.5 MG AND IRON",9,4,1,18,10,4,0,0,0
"39","1000014701","TEVA CHEWABLE MULTIVITAMINS WITH FLUORIDE 1 MG AND IRON",9,4,1,18,10,4,0,0,0
"40","1000016401","JENNY CRAIG PROTECT + ANTIOXIDANT FORMULA WITH PHYTONUTRIENTS",9,4,1,2,3,4,0,5,4
"41","1000016402","JENNY CRAIG PROTECT + ANTIOXIDANT FORMULA WITH PHYTONUTRIENTS",9,4,1,2,4,4,0,5,3
"42","1000017200","TARGET CHILDREN'S CHEWABLE MULTI VITAMINS",9,1,1,18,10,0,0,0,3
"43","1000017300","TARGET CHILDREN'S CHEWABLE MULTIPLE VITAMIN WITH EXTRA VITAMIN C",9,1,1,18,10,0,0,0,4
"44","1000017301","TARGET CHILDREN'S MULTI VITAMIN WITH VITAMIN C 10 ESSENTIAL VITAMINS INCLUDING VITAMIN C CHEWABLE TABLETS",9,1,1,18,10,0,0,0,4
"45","1000017500","TARGET CHILDREN'S CHEWABLE MULTIPLE VITAMIN WITH IRON",9,1,1,18,10,1,0,0,3
"46","1000017600","TARGET CHILDREN'S CHEWABLE COMPLETE MULTI VITAMINS WITH ESSENTIAL MINERALS",9,1,1,18,12,7,0,0,3
"47","1000017601","TARGET CHILDREN'S MULTIVITAMIN / MULTIMINERAL 20 NUTRIENTS CHEWABLE TABLETS",9,1,1,18,13,7,0,0,3
"48","1000017602","CHILDREN'S MULTIVITAMIN 19 VITAMINS AND MINERALS CHEWABLE TABLETS UP&UP",9,1,1,18,13,7,0,0,3
"49","1000017700","WALGREENS SUPER AYTINAL COMPLETE VITAMIN AND MINERAL",9,4,1,1,13,16,0,0,3
"50","1000017800","WALGREENS MULTIPLE VITAMINS ONE DAILY FOR ADULTS & CHILDREN",9,4,1,18,11,0,0,0,1
"51","1000017801","WALGREENS MULTIPLE VITAMINS ONE DAILY FOR ADULTS & CHILDREN OVER 12",9,4,1,18,11,0,0,0,0
"52","1000017900","WALGREENS MULTIPLE VITAMINS WITH IRON ONE DAILY FOR ADULTS & CHILDREN",9,4,1,18,11,1,0,0,0
"53","1000018200","SESAME STREET COMPLETE VITAMINS AND MINERALS WITH CALCIUM AND IRON",9,1,1,18,12,7,0,0,1
"54","1000018202","SESAME STREET COMPLETE CHILDREN'S MULTIVITAMIN MULTIMINERAL",9,1,1,18,12,7,0,0,2
"55","1000018300","SESAME STREET EXTRA C VITAMINS",9,1,1,18,11,0,0,0,1
"56","1000018400","ENFAMIL TRI-VI-SOL VITAMINS A, D, & C DROPS",9,1,1,10,3,0,0,0,0
"57","1000018401","ENFAMIL TRI-VI-SOL ESSENTIAL VITAMINS FOR INFANTS VITAMINS A, C & D DROPS",8,1,1,10,3,0,0,0,0
"58","1000018500","ENFAMIL TRI-VI-SOL WITH IRON VITAMINS A, D, & C DROPS",9,1,1,10,3,1,0,0,0
"59","1000018700","ENFAMIL POLY-VI-SOL MULTIVITAMIN DROPS WITH IRON",9,1,1,10,8,1,0,0,0
"60","1000018701","ENFAMIL POLY-VI-SOL MULTIVITAMIN DROPS WITH IRON FOR INFANTS & TODDLERS",9,1,1,10,8,1,0,0,0
"61","1000018702","ENFAMIL POLY-VI-SOL WITH IRON ESSENTIAL VITAMINS FOR INFANTS & TODDLERS MULTIVITAMIN DROPS",8,1,1,10,8,1,0,0,0
"62","1000018800","ENFAMIL POLY-VI-SOL WITH IRON CHEWABLE VITAMIN & MINERAL",9,1,1,18,10,3,0,0,0
"63","1000018900","ENFAMIL POLY-VI-SOL PETER RABBIT SHAPES CHEWABLE VITAMINS",9,1,1,18,10,0,0,0,0
"64","1000019000","ENFAMIL POLY-VI-SOL VITAMIN DROPS",9,1,1,10,9,0,0,0,0
"65","1000019001","ENFAMIL POLY-VI-SOL MULTIVITAMIN DROPS FOR INFANTS & TODDLERS",9,1,1,10,9,0,0,0,0
"66","1000019002","ENFAMIL POLY-VI-SOL ESSENTIAL VITAMINS FOR INFANTS & TODDLERS MULTIVITAMIN DROPS",8,1,1,10,9,0,0,0,0
"67","1000019200","ENFAMIL TRI-VI-FLOR 0.25 MG VITAMINS A, D, C, AND FLUORIDE DROPS",9,1,1,10,3,1,0,0,0
"68","1000019300","ENFAMIL TRI-VI-FLOR 0.5 MG VITAMINS A, D, C, AND FLUORIDE DROPS",9,1,1,10,3,1,0,0,0
"69","1000019400","ENFAMIL TRI-VI-FLOR 1.0 MG VITAMINS A, D, C AND FLUORIDE CHEWABLE TABLETS",9,1,1,18,3,1,0,0,0
"70","1000019500","ENFAMIL POLY-VI-FLOR 0.25 MG WITH IRON MULTIVITAMIN, IRON AND FLUORIDE DROPS",9,1,1,10,8,2,0,0,0
"71","1000019600","ENFAMIL POLY-VI-FLOR 0.25 MG MULTIVITAMIN AND FLUORIDE DROPS",9,1,1,10,9,1,0,0,0
"72","1000019700","ENFAMIL POLY-VI-FLOR 0.5 MG MULTIVITAMIN AND FLUORIDE DROPS",9,1,1,10,9,1,0,0,0
"73","1000019800","ENFAMIL POLY-VI-FLOR 0.5 MG WITH IRON MULTIVITAMIN, IRON AND FLUORIDE DROPS",9,1,1,10,8,2,0,0,0
"74","1000019900","ENFAMIL POLY-VI-FLOR 0.25 MG MULTIVITAMIN, MINERAL, AND FLUORIDE CHEWABLE TABLETS WITH IRON",9,1,1,18,10,4,0,0,0
"75","1000020000","ENFAMIL POLY-VI-FLOR 0.25 MG MULTIVITAMIN AND FLUORIDE CHEWABLE TABLETS",9,1,1,18,10,1,0,0,0
"76","1000020100","ENFAMIL POLY-VI-FLOR 0.5 MG MULTIVITAMIN AND FLUORIDE CHEWABLE TABLETS",9,1,1,18,10,1,0,0,0
"77","1000020500","ENFAMIL NATALINS MULTIVITAMIN AND MULTIMINERAL WITH BETA-CAROTENE",9,2,1,18,10,5,0,0,1
"78","1000020600","ENFAMIL NATALINS RX MULTIVITAMIN AND MULTIMINERAL WITH BETA-CAROTENE 1 MG FOLIC ACID AND 54 MG IRON PER 2 TABLET DOSE ME",9,2,2,18,12,5,0,0,1
"79","1000020800","LIFEPAK",9,4,1,12,13,13,0,5,7
"80","1000020802","PHARMANEX LIFEPAK NEW ANTI-AGING FORMULA",9,4,1,12,14,13,0,3,8
"81","1000020803","PHARMANEX LIFEPAK NEW ANTI-AGING FORMULA",9,4,1,12,13,12,0,3,8
"82","1000020900","LIFEPAK PRIME",9,4,1,12,13,13,1,7,9
"83","1000020901","PHARMANEX LIFEPAK PRIME ANTI-AGING PACKETS",9,4,1,12,13,14,1,5,11
"84","1000021000","LIFEPAK WOMEN",9,4,1,12,13,13,0,7,7
"85","1000021100","LIFEPAK TRIM",9,4,2,12,13,13,0,5,8
"86","1000021200","CARTILAGE FORMULA PHARMANEX",9,4,2,2,2,2,0,2,3
"87","1000021300","BIO ST. JOHN'S HEALTHY EMOTIONAL BALANCE SUPPORT",9,4,2,2,0,0,0,2,0
"88","1000021400","VITALERT COMPLETE HIGH POTENCY FORMULA WITH ENERGIZING HERBS",9,4,4,18,13,16,0,7,5
"89","1000021401","VITALERT COMPLETE HIGH POTENCY FORMULA WITH ENERGIZING HERBS",8,4,4,18,13,16,0,7,5
"90","1000021600","GARLIMAX MAXIMUM STRENGTH GARLIC",9,4,1,18,0,0,0,1,4
"91","1000021601","GARLIMAX ODOR FREE GARLIC 1650 MG GARLIC EQUIVALENT TRIPLE CONCENTRATED",9,4,1,18,0,0,0,1,4
"92","1000021602","GARLIMAX GARLIC ENTERIC COATED ODOR FREE ONLY ONE TABLET A DAY TRIPLE CONCENTRATED",8,4,1,18,0,0,0,1,4
"93","1000022100","UPJOHN UNICAP ESSENTIAL VITAMINS",9,4,1,18,10,0,0,0,0
"94","1000022200","NATURE MADE THERAPEUTIC M MULTIPLE VITAMIN AND MINERAL WITH BETA-CAROTENE",9,4,1,18,13,16,0,0,3
"95","1000022201","THE MEDICINE SHOPPE THERAPEUTIC M HIGH POTENCY MULTIVITAMIN FORMULA WITH MINERALS FORTIFIED WITH BETA-CAROTENE",9,4,1,1,13,16,0,0,3
"96","1000022202","VITA-SMART THERAPEUTIC M HIGH POTENCY MULTIVITAMIN FORMULA WITH MINERALS WITH ANTIOXIDANTS C, E, & BETA CAROTENE",9,4,1,1,13,16,0,0,3
"97","1000022203","NATURE MADE THERAPEUTIC M HIGH POTENCY MULTIVITAMIN/MULTIMINERAL WITH ANTIOXIDANTS",9,4,1,18,13,16,0,0,3
"98","1000022300","NATURE MADE CENTRAL-VITE MULTIPLE VITAMIN AND MINERAL WITH BETA-CAROTENE",9,4,1,18,13,16,0,0,3
"99","1000022301","NATURE MADE CENTURY-VITE COMPLETE MULTIPLE VITAMIN AND MINERAL WITH ANTIOXIDANTS",9,4,1,18,13,16,0,0,3
"100","1000022400","NATURE MADE ESSENTIAL BALANCE MULTIVITAMIN MULTIMINERAL FORMULA",9,4,1,18,13,16,0,0,3
"101","1000022401","NATURE MADE ESSENTIAL BALANCE COMPLETE HIGH POTENCY  MULTI VITAMIN/MINERAL WITH LUTEIN",9,4,1,18,13,16,0,0,3
"102","1000022402","NATURE MADE ESSENTIAL BALANCE COMPLETE HIGH POTENCY  MULTI VITAMIN/MINERAL WITH LUTEIN",9,4,1,18,13,16,0,0,3
"103","1000022403","NATURE MADE MULTI COMPLETE WITH LUTEIN MULTI VITAMIN / MINERAL WITH IRON",9,4,1,18,13,16,0,0,3
"104","1000022404","NATURE MADE MULTI COMPLETE WITH IRON COMPLETE MULTI VITAMIN / MULTI MINERAL",8,4,1,18,13,10,0,0,1
"105","1000022405","NATURE MADE MULTI COMPLETE WITH IRON 23 KEY NUTRIENTS MADE WITH D3",9,4,1,18,13,10,0,0,1
"106","1000022500","NATURE MADE DAILY COMBO MULTIPLE VITAMIN WITH BETA-CAROTENE",9,4,1,18,11,0,0,0,1
"107","1000022600","NATURE MADE STRESS B-COMPLEX",9,4,1,18,10,0,0,0,0
"108","1000023200","METAMUCIL POWDER  ORIGINAL TEXTURE REGULAR FLAVOR DIETARY FIBER",5,4,1,34,0,0,0,1,1
"109","1000023201","METAMUCIL WITH 100% NATURAL PSYLLIUM FIBER DIETARY FIBER POWDER COARSE MILLED ORIGINAL TEXTURE UNFLAVORED",8,4,1,34,0,1,0,0,7
"110","1000023202","METAMUCIL WITH 100% NATURAL PSYLLIUM FIBER FIBER LAXATIVE / FIBER COARSE MILLED ORIGINAL TEXTURE UNFLAVORED",8,4,1,34,0,1,0,0,7
"111","1000023400","FORMULA 105 MATURITY FORMULA MULTIVITAMINS WITH MINERALS",9,3,1,1,12,7,0,0,3
"112","1000023500","ROCHE BEROCCA PLUS TABLETS",9,4,1,18,11,6,0,0,0
"113","1000024300","SCHIFF B-COMPLEX 50 MG TABLETS",8,4,1,18,9,0,0,0,2
"114","1000024500","SCHIFF NATURAL SELENIUM 200 MCG",9,4,1,18,0,2,0,0,0
"115","1000024700","GEVRABON SHERRY WINE FLAVOR VITAMIN & MINERAL",9,4,1,5,7,4,0,0,1
"116","1000024800","Z-BEC PLUS B COMPLEX VITAMINS ZINC VITAMIN E 600 MG VITAMIN C",9,4,1,18,8,1,0,0,0
"117","1000024801","Z-BEC B-COMPLEX ZINC AND B-COMPLEX VITAMINS PLUS VITAMIN E AND VITAMIN C",9,4,1,18,10,1,0,0,0
"118","1000024802","Z-BEC B-COMPLEX ZINC AND B-COMPLEX VITAMINS PLUS VITAMIN E AND VITAMIN C",9,4,1,1,10,1,0,0,0
"119","1000024900","FERRO-SEQUELS TIMED-RELEASE HIGH POTENCY IRON",9,4,1,18,0,1,0,0,0
"120","1000025000","POSTURE-D HIGH POTENCY CALCIUM WITH VITAMIN D 600 MG CHEWABLE",9,4,2,18,1,1,0,0,3
"121","1000025100","ALL BEE WITH C",9,4,1,1,6,0,0,0,0
"122","1000025500","SOY CARE BONE HEALTH",9,4,1,18,1,1,0,1,2
"123","1000025700","STRESSTABS HIGH POTENCY B-COMPLEX WITH ANTIOXIDANTS C & E, & FOLIC ACID",9,4,1,18,10,0,0,0,0
"124","1000025800","STRESSTABS HIGH POTENCY B-COMPLEX WITH ANTIOXIDANTS C & E, & FOLIC ACID + ZINC",9,4,1,18,10,2,0,0,0
"125","1000025801","STRESSTABS ADVANCED HIGH POTENCY NOW WITH ZINC & ESTER C NEW & IMPROVED",9,4,1,18,10,5,0,0,0
"126","1000025900","STRESSTABS HIGH POTENCY B-COMPLEX WITH ANTIOXIDANTS C & E, & FOLIC ACID + IRON",9,4,1,18,10,1,0,0,0
"127","1000025901","STRESSTABS ENERGY HIGH POTENCY NOW WITH NEW TRI-AMINO ENERGY BLEND + IRON NEW & IMPROVED",9,4,1,18,10,3,3,0,0
"128","1000026300","POSTURE-D CALCIUM 600 MG WITH VITAMIN D",9,4,1,18,1,1,0,0,0
"129","1000026401","PROTEGRA CARDIO WITH OMEGA-3'S & NATURAL VITAMIN E VITAMIN & MINERAL",9,4,1,16,6,5,0,0,4
"130","1000026500","PROTEGRA ANTIOXIDANT VITAMIN & MINERAL INCLUDES VITAMINS E, C AND A PLUS MINERALS ZINC AND SELENIUM",9,4,1,16,3,4,0,0,1
"131","1000026501","PROTEGRA ANTIOXIDANT VITAMIN & MINERAL NOW WITH SUPER-ANTIOXIDANT GRAPE SEED EXTRACT & NATURAL VITAMIN E",9,4,1,16,3,4,0,1,1
"132","1000026502","PROTEGRA ANTIOXIDANT VITAMIN & MINERAL NOW WITH SUPER-ANTIOXIDANT GRAPE SEED EXTRACT & NATURAL VITAMIN E",9,4,1,16,3,4,0,1,1
"133","1000026700","SHAKLEE B-COMPLEX VITAMIN B SUPPLEMENT",9,4,1,18,8,0,0,0,0
"134","1000026800","SHAKLEE CALCIUM COMPLEX",9,4,3,18,0,5,0,0,0
"135","1000026900","SHAKLEE LECITHIN",9,4,6,2,0,1,0,1,4
"136","1000027100","SHAKLEE INSTANT PROTEIN DRINK MIX",9,4,0.25,25,5,3,9,0,8
"137","1000027200","SHAKLEE LIQUI-LEA MULTIVITAMIN PLUS IRON",9,4,5,10,10,1,0,0,0
"138","1000027201","SHAKLEE LIQUI-LEA HIGH POTENCY MULTIVITAMIN PLUS IRON",9,4,5,10,10,1,0,0,2
"139","1000027202","SHAKLEE LIQUI-LEA HIGH POTENCY MULTIVITAMIN PLUS IRON",9,4,1,19,10,1,0,0,2
"140","1000027400","SHAKLEE 400 IU VITA-E PLUS SELENIUM CAPSULES VITAMIN AND MINERAL",9,4,1,2,1,1,0,0,0
"141","1000027500","SHAKLEE VITA-LEA FOR CHILDREN CHEWABLE MULTIVITAMIN AND MULTIMINERAL",9,1,2,18,13,11,0,0,2
"142","1000027501","SHAKLEE VITA-LEA FOR CHILDREN MULTIVITAMIN & MULTIMINERAL",9,1,2,18,13,11,0,0,3
"143","1000027502","SHAKLEE VITA-LEA FOR CHILDREN MULTIVITAMIN & MULTIMINERAL OCEAN WONDERS",9,1,2,18,13,10,0,1,2
"144","1000027503","SHAKLEE VITA-LEA OCEAN WONDERS FOR CHILDREN MULTIVITAMIN & MULTIMINERAL",9,1,2,18,13,10,0,1,3
"145","1000027600","SHAKLEE VITA-LEA MULTIVITAMIN AND MULTIMINERAL",9,4,2,18,13,16,0,0,2
"146","1000027601","SHAKLEE VITA-LEA IRON FORMULA HIGH POTENCY MULTIVITAMIN & MULTIMINERAL",9,4,2,18,13,16,0,0,2
"147","1000027602","SHAKLEE VITA-LEA IRON FORMULA HIGH POTENCY MULTIVITAMIN & MULTIMINERAL",9,4,2,18,13,16,0,0,3
"148","1000027603","SHAKLEE VITA-LEA IRON FORMULA NOW WITH MORE VITAMIN D HIGH POTENCY MULTIVITAMIN & MULTIMINERAL",9,4,2,18,13,16,0,0,3
"149","1000027701","GERITOL EXTEND MULTI-VITAMIN/MULTI-MINERAL FOR ADULTS 50+",8,3,1,18,11,7,0,0,1
"150","1000027800","GERITOL COMPLETE HIGH POTENCY MULTI-VITAMIN/MULTI-MINERAL",9,4,1,18,13,11,0,0,3
"151","1000027801","GERITOL COMPLETE HIGH POTENCY MULTI-VITAMIN PLUS MULTI-MINERAL",8,4,1,18,13,11,0,0,3
"152","1000027900","OSCAL 500 CALCIUM",9,4,1,18,0,1,0,0,0
"153","1000027901","SUNDOWN NATURAL OYSTER SHELL CALCIUM 500 MG",9,4,1,1,0,1,0,0,0
"154","1000028000","GERITOL WITH FERREX 18 HIGH POTENCY MULTI-VITAMIN & IRON",9,4,1,17,6,1,1,0,2
"155","1000028001","GERITOL WITH FERREX 18 TONIC HIGH POTENCY MULTI-VITAMIN & IRON",9,4,1,17,6,1,1,0,2
"156","1000028100","FEOSOL FERROUS SULFATE  IRON THERAPY",9,4,1,18,0,1,0,0,0
"157","1000028300","FEOSOL ELIXIR",5,4,1,19,0,1,0,0,0
"158","1000028800","KYOLIC AGED GARLIC EXTRACT CAPLETS",5,4,1,1,0,0,0,1,0
"159","1000028900","CENTRUM ADVANCED FORMULA HIGH POTENCY MULTIVITAMIN/MULTIMINERAL FORMULA FROM A TO ZINC",9,4,1,18,13,16,0,0,3
"160","1000028901","CENTRUM ADVANCED FORMULA HIGH POTENCY MULTIVITAMIN/MULTIMINERAL FORMULA NOW WITH LUTEIN",9,4,1,18,13,16,0,0,4
"161","1000028902","CENTRUM ADVANCED FORMULA HIGH POTENCY MULTIVITAMIN/MULTIMINERAL FORMULA FROM A TO ZINC NOW WITH LYCOPENE",9,4,1,18,13,16,0,0,5
"162","1000028903","CENTRUM MULTIVITAMIN / MULTIMINERAL BALANCED & COMPLETE FROM A TO ZINC NEW FORMULA",9,4,1,18,13,16,0,0,5
"163","1000028904","CENTRUM MULTIVITAMIN / MULTIMINERAL COMPLETE FROM A TO ZINC",9,4,1,18,13,16,0,0,3
"164","1000029000","CENTRUM ADVANCED FORMULA HIGH POTENCY MULTIVITAMIN/MULTIMINERAL FORMULA LIQUID",8,4,1,17,11,6,0,0,0
"165","1000029001","CENTRUM ADVANCED FORMULA HIGH POTENCY MULTIVITAMIN/MULTIMINERAL LIQUID",9,4,1,17,11,6,0,0,3
"166","1000029100","CENTRUM SILVER MULTIVITAMIN MULTIMINERAL FOR ADULTS 50+ FROM A TO ZINC",9,3,1,18,13,15,0,0,3
"167","1000029101","CENTRUM SILVER SPECIALLY FORMULATED MULTIVITAMIN / MULTIMINERAL FOR ADULTS 50+ NOW WITH LUTEIN IRON FREE FORMULA FROM A",9,3,1,18,13,14,0,0,4
"168","1000029102","CENTRUM SILVER MULTIVITAMIN / MULTIMINERAL FOR ADULTS 50+ FROM A TO ZINC NOW WITH LYCOPENE",9,3,1,18,13,14,0,0,5
"169","1000029103","CENTRUM SILVER MULTIVITAMIN / MULTIMINERAL BALANCED & COMPLETE FROM A TO ZINC SPECIALLY FORMULATED FOR ADULTS 50+ NEW FO",9,3,1,18,13,14,0,0,5
"170","1000029104","CENTRUM SILVER MULTIVITAMIN / MULTIMINERAL COMPLETE FROM A TO ZINC FOR ADULTS 50+",9,3,1,18,13,14,0,0,5
"171","1000029300","CENTRUM KIDS COMPLETE CHILDREN'S CHEWABLES SHAMU AND HIS CREW",5,1,1,18,13,10,0,0,1
"172","1000029301","CENTRUM KIDS RUGRATS CHEWABLE VITAMINS COMPLETE",9,1,1,18,13,10,0,0,2
"173","1000029302","CENTRUM KIDS RUGRATS CHEWABLE MULTIVITAMIN COMPLETE",9,1,1,18,13,10,0,0,3
"174","1000029303","CENTRUM KIDS THE ADVENTURES OF JIMMY NEUTRON BOY GENIUS COMPLETE CHEWABLE MULTIVITAMIN",9,1,1,18,13,10,0,0,3
"175","1000029304","CENTRUM KIDS SPONGEBOB SQUAREPANTS COMPLETE CHEWABLE MULTIVITAMIN",9,1,1,18,13,10,0,0,3
"176","1000029305","CENTRUM KIDS DORA THE EXPLORER COMPLETE CHEWABLE MULTIVITAMIN",9,1,1,18,13,10,0,0,3
"177","1000029306","CENTRUM KIDS SPONGEBOB SQUAREPANTS COMPLETE MULTIVITAMIN / MULTIMINERAL CHEWABLE TABLETS",9,1,1,18,13,10,0,0,4
"178","1000029400","CENTRUM KIDS CHEWABLE VITAMINS WITH EXTRA CALCIUM SHAMU AND HIS CREW",8,1,1,18,10,4,0,0,2
"179","1000029401","CENTRUM KIDS RUGRATS CHEWABLE VITAMINS WITH EXTRA CALCIUM",9,1,1,18,10,4,0,0,2
"180","1000029402","CENTRUM KIDS RUGRATS CHEWABLE MULTIVITAMIN EXTRA CALCIUM",9,1,1,18,10,4,0,0,3
"181","1000029500","CENTRUM KIDS CHEWABLE VITAMINS EXTRA C SHAMU AND HIS CREW TABLETS",9,1,1,18,10,4,0,0,3
"182","1000029501","CENTRUM KIDS RUGRATS CHEWABLE VITAMINS WITH EXTRA C",9,1,1,18,10,4,0,0,3
"183","1000029502","CENTRUM KIDS RUGRATS CHEWABLE MULTIVITAMIN EXTRA C",9,1,1,18,10,4,0,0,4
"184","1000029503","CENTRUM KIDS THE ADVENTURES OF JIMMY NEUTRON BOY GENIUS MULTIVITAMIN EXTRA C CHEWABLE",9,1,1,18,10,4,0,0,4
"185","1000029600","STUARTNATAL PLUS MULTIVITAMIN/MULTIMINERAL",9,2,1,18,10,4,0,0,0
"186","1000029601","PRENATAL PLUS MULTIVITAMIN/MULTIMINERAL",9,2,1,18,10,4,0,0,0
"187","1000029700","STUART PRENATAL MULTIVITAMIN/MULTIMINERAL",9,2,1,18,10,3,0,0,1
"188","1000029701","STUART PRENATAL MULTIVITAMIN/MULTIMINERAL",9,2,1,18,10,3,0,0,1
"189","1000029800","MATERNA PRENATAL VITAMIN AND MINERAL TABLETS",9,2,1,18,12,10,0,0,1
